subscription_id,customer_id,plan_name,billing_cycle,mrr,contract_value,start_date,end_date,status,seats
SUB-00001,CUST-0001,Micro Plus,monthly,99,99,2023-06-18,,at_risk,
SUB-00002,CUST-0002,SMB Starter,monthly,249,249,2023-12-05,,active,
SUB-00003,CUST-0003,SMB Pro,monthly,399,399,2024-10-06,,active,
SUB-00004,CUST-0004,Enterprise Core,annual,5500,66000,2024-09-20,,trial_or_promo,125.0
SUB-00005,CUST-0005,Enterprise Core,annual,5500,66000,2023-08-08,,active,190.0
SUB-00006,CUST-0006,Micro Plus,monthly,99,99,2024-07-03,,active,
SUB-00007,CUST-0007,Enterprise Plus,annual,12000,144000,2024-11-17,,paused,145.0
SUB-00008,CUST-0008,Mid Scale,monthly,1999,1999,2024-09-17,,active,
SUB-00009,CUST-0009,Mid Scale,monthly,1999,1999,2024-09-24,,active,
SUB-00010,CUST-0010,Mid Growth,monthly,799,799,2024-08-27,,active,
SUB-00011,CUST-0011,Micro Plus,annual,99,1188,2023-04-30,,active,
SUB-00012,CUST-0012,Enterprise Core,annual,5500,66000,2023-05-22,,active,118.0
SUB-00013,CUST-0013,SMB Starter,monthly,249,249,2024-05-16,,active,
SUB-00014,CUST-0014,Enterprise Plus,annual,12000,144000,2024-01-03,,at_risk,134.0
SUB-00015,CUST-0015,Enterprise Core,monthly,5500,5500,2024-06-01,,active,114.0
SUB-00016,CUST-0016,Enterprise Core,annual,5500,66000,2024-03-30,,active,31.0
SUB-00017,CUST-0017,SMB Pro,annual,399,4788,2023-10-09,,active,
SUB-00018,CUST-0018,Enterprise Plus,annual,12000,144000,2024-05-22,,active,38.0
SUB-00019,CUST-0019,Mid Growth,monthly,799,799,2024-01-11,,active,
SUB-00020,CUST-0020,Enterprise Plus,annual,12000,144000,2024-03-11,,active,177.0
SUB-00021,CUST-0021,Mid Growth,monthly,799,799,2023-02-03,,active,
SUB-00022,CUST-0022,Micro Plus,monthly,99,99,2023-05-01,2025-05-02,cancelled,
SUB-00023,CUST-0023,Mid Scale,monthly,1999,1999,2024-09-16,,active,
SUB-00024,CUST-0024,SMB Starter,monthly,249,249,2023-07-31,2025-10-19,cancelled,
SUB-00025,CUST-0025,Mid Growth,monthly,799,799,2023-06-22,,active,
SUB-00026,CUST-0026,Mid Growth,monthly,799,799,2024-06-10,,at_risk,
SUB-00027,CUST-0027,Micro Plus,annual,99,1188,2024-02-26,,trial_or_promo,
SUB-00028,CUST-0028,SMB Starter,monthly,249,249,2023-05-16,,active,
SUB-00029,CUST-0029,SMB Pro,monthly,399,399,2024-11-23,,active,
SUB-00030,CUST-0030,Mid Growth,monthly,799,799,2024-01-20,,active,
SUB-00031,CUST-0031,Micro Plus,monthly,99,99,2023-10-12,,active,
SUB-00032,CUST-0032,Enterprise Plus,monthly,12000,12000,2023-12-02,,active,197.0
SUB-00033,CUST-0033,Enterprise Plus,annual,12000,144000,2024-12-15,,active,26.0
SUB-00034,CUST-0034,Enterprise Core,annual,5500,66000,2024-03-15,,paused,136.0
SUB-00035,CUST-0035,Mid Growth,monthly,799,799,2024-08-14,,active,
SUB-00036,CUST-0036,Mid Scale,monthly,1999,1999,2023-02-19,,active,
SUB-00037,CUST-0037,Enterprise Plus,annual,12000,144000,2023-06-11,,active,10.0
SUB-00038,CUST-0038,Enterprise Core,annual,5500,66000,2024-12-06,,trial_or_promo,176.0
SUB-00039,CUST-0039,Mid Growth,annual,799,9588,2024-01-05,,active,
SUB-00040,CUST-0040,SMB Starter,annual,249,2988,2024-10-02,,active,
SUB-00041,CUST-0041,SMB Pro,monthly,399,399,2023-04-04,,active,
SUB-00042,CUST-0041,Enterprise Plus,monthly,12000,12000,2025-02-09,,active,
SUB-00043,CUST-0042,SMB Starter,monthly,249,249,2024-06-15,,active,
SUB-00044,CUST-0042,Mid Scale,monthly,1999,1999,2026-02-23,,active,
SUB-00045,CUST-0043,Micro Plus,monthly,99,99,2024-03-08,,active,
SUB-00046,CUST-0044,SMB Pro,monthly,399,399,2023-04-15,,active,
SUB-00047,CUST-0045,Mid Growth,annual,799,9588,2023-05-17,,active,
SUB-00048,CUST-0046,Micro Plus,monthly,99,99,2023-01-09,,active,
SUB-00049,CUST-0047,Mid Scale,monthly,1999,1999,2024-10-05,2025-07-30,cancelled,
SUB-00050,CUST-0048,Enterprise Plus,monthly,12000,12000,2023-03-30,,trial_or_promo,45.0
SUB-00051,CUST-0049,Enterprise Core,annual,5500,66000,2024-03-15,,active,45.0
SUB-00052,CUST-0050,Micro Plus,annual,99,1188,2024-09-07,,active,
SUB-00053,CUST-0051,Micro Free,monthly,19,19,2024-11-05,,paused,
SUB-00054,CUST-0052,SMB Pro,monthly,399,399,2023-10-30,,active,
SUB-00055,CUST-0053,SMB Pro,monthly,399,399,2023-04-26,,active,
SUB-00056,CUST-0054,Micro Plus,monthly,99,99,2023-01-13,,at_risk,
SUB-00057,CUST-0055,SMB Starter,monthly,249,249,2024-08-05,,active,
SUB-00058,CUST-0056,SMB Starter,monthly,249,249,2023-03-16,,active,
SUB-00059,CUST-0056,Mid Growth,monthly,799,799,2025-04-21,,active,
SUB-00060,CUST-0057,Micro Free,monthly,19,19,2024-02-12,,active,
