customer_id,company_name,industry,country,segment,segment_correct,is_mislabeled,csm_owner,created_at
CUST-0001,"Caracciolo, Asmundo e Leone e figli",Healthcare,DE,Mid-market,Micro,True,marco.ricci,2024-02-17
CUST-0002,Cilea SPA,Education,IT,Micro,Micro,False,elena.russo,2022-05-14
CUST-0003,"Verdone, Broschi e Querini SPA",Healthcare,NL,SMB,Micro,True,elena.russo,2020-02-24
CUST-0004,Cabrini e figli,Education,ES,SMB,SMB,False,marco.ricci,2022-07-08
CUST-0005,Tirabassi SPA,SaaS,PL,Mid-market,Mid-market,False,marco.ricci,2023-11-30
CUST-0006,"Filangieri, Verdone e Puccini e figli",Fintech,DE,Enterprise,Enterprise,False,sara.conti,2020-07-28
CUST-0007,Lettiere-Alboni e figli,Manufacturing,PL,Micro,Micro,False,sara.conti,2023-05-21
CUST-0008,"Raimondi, Morpurgo e Lettiere e figli",Consulting,NL,Mid-market,Mid-market,False,giulia.ferrari,2022-02-14
CUST-0009,Morandini SPA,Retail,PL,Micro,Micro,False,sara.conti,2023-03-28
CUST-0010,Parmitano SPA,SaaS,UK,SMB,SMB,False,marco.ricci,2024-05-02
CUST-0011,Muratori-Iannucci SPA,Healthcare,PL,Mid-market,Mid-market,False,giulia.ferrari,2022-02-17
CUST-0012,"Sauro, Valguarnera e Cattaneo s.r.l.",Manufacturing,DE,Mid-market,Mid-market,False,sara.conti,2021-12-28
CUST-0013,Villarosa Group,E-commerce,NL,SMB,SMB,False,marco.ricci,2022-12-29
CUST-0014,"Opizzi, Ferrabosco e Bonanno SPA",Media,FR,SMB,SMB,False,elena.russo,2021-03-25
CUST-0015,"Gentilini, Luxardo e Bottaro e figli",SaaS,DE,Mid-market,Mid-market,False,giulia.ferrari,2024-07-06
CUST-0016,Parmitano Group,E-commerce,DE,Mid-market,Mid-market,False,elena.russo,2024-11-29
CUST-0017,Ossani-Cuzzocrea Group,Consulting,ES,Mid-market,Mid-market,False,luca.marino,2020-10-19
CUST-0018,Foscari-Interiano SPA,Education,NL,Mid-market,Mid-market,False,sara.conti,2024-03-09
CUST-0019,"Donini, Udinese e Gotti e figli",Media,FR,Enterprise,Enterprise,False,marco.ricci,2020-10-10
CUST-0020,Parisi-Jilani e figli,SaaS,PL,Enterprise,Enterprise,False,giulia.ferrari,2020-11-09
CUST-0021,"Mocenigo, Bertolucci e Giacconi SPA",Media,NL,SMB,SMB,False,giulia.ferrari,2022-02-27
CUST-0022,Pietrangeli-Interminelli SPA,Consulting,NL,Enterprise,Enterprise,False,sara.conti,2023-02-07
CUST-0023,Zola Group,E-commerce,UK,Micro,Micro,False,elena.russo,2024-03-17
CUST-0024,Tarchetti s.r.l.,Manufacturing,IT,Mid-market,Mid-market,False,sara.conti,2022-06-09
